Geography,EffectiveMonth,EffectiveYear,FederalFY,SD_household1,SD_household2,SD_household3,SD_household4,SD_household5,SD_household6more,,ShelterD_all,ShelterD_homeless,,HTML Link,
CONUS,10,2005,FY06,134,134,134,134,157,179,,400,143,,https://www.fns.usda.gov/snap/allotment/fy-2006-information,
Alaska,10,2005,FY06,229,229,229,229,229,229,,640,143,,https://www.fns.usda.gov/snap/allotment/fy-2006-information,
Hawaii,10,2005,FY06,189,189,189,189,189,206,,539,143,,https://www.fns.usda.gov/snap/allotment/fy-2006-information,
Guam,10,2005,FY06,269,269,269,269,313,358,,470,143,,https://www.fns.usda.gov/snap/allotment/fy-2006-information,
Virgin Islands,10,2005,FY06,118,118,118,134,157,179,,315,143,,https://www.fns.usda.gov/snap/allotment/fy-2006-information,
CONUS,10,2006,FY07,134,134,134,139,162,186,,417,143,,https://www.fns.usda.gov/snap/allotment/fy-2007-information,
Alaska,10,2006,FY07,229,229,229,229,229,232,,666,143,,https://www.fns.usda.gov/snap/allotment/fy-2007-information,
Hawaii,10,2006,FY07,189,189,189,189,189,213,,562,143,,https://www.fns.usda.gov/snap/allotment/fy-2007-information,
Guam,10,2006,FY07,269,269,269,277,324,371,,490,143,,https://www.fns.usda.gov/snap/allotment/fy-2007-information,
Virgin Islands,10,2006,FY07,118,118,118,139,162,186,,329,143,,https://www.fns.usda.gov/snap/allotment/fy-2007-information,
CONUS,10,2007,FY08,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2008-information,
Alaska,10,2007,FY08,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2008-information,
Hawaii,10,2007,FY08,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2008-information,
Guam,10,2007,FY08,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2008-information,
Virgin Islands,10,2007,FY08,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2008-information,
CONUS,10,2008,FY09-1,144,144,144,147,172,197,,Ê446,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-1,
Alaska,10,2008,FY09-1,246,246,246,246,246,246,,713,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-1,
Hawaii,10,2008,FY09-1,203,203,203,203,203,226,,601,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-1,
Guam,10,2008,FY09-1,289,289,289,294,344,393,,524,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-1,
Virgin Islands,10,2008,FY09-1,127,127,127,147,172,197,,352,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-1,
CONUS,4,2009,FY09-2,144,144,144,147,172,197,,Ê446,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-2,
Alaska,4,2009,FY09-2,246,246,246,246,246,246,,713,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-2,
Hawaii,4,2009,FY09-2,203,203,203,203,203,226,,601,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-2,
Guam,4,2009,FY09-2,289,289,289,294,344,393,,524,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-2,
Virgin Islands,4,2009,FY09-2,127,127,127,147,172,197,,352,143,,https://www.fns.usda.gov/snap/allotment/fy-2009-information-2,
CONUS,10,2009,FY10,141,141,141,153,179,205,,459,143,,https://www.fns.usda.gov/snap/allotment/fy-2010-information,
Alaska,10,2009,FY10,241,241,241,241,241,256,,733,143,,https://www.fns.usda.gov/snap/allotment/fy-2010-information,
Hawaii,10,2009,FY10,198,198,198,198,205,235,,618,143,,https://www.fns.usda.gov/snap/allotment/fy-2010-information,
Guam,10,2009,FY10,283,283,283,305,357,409,,538,143,,https://www.fns.usda.gov/snap/allotment/fy-2010-information,
Virgin Islands,10,2009,FY10,124,124,127,153,179,205,,361,143,,https://www.fns.usda.gov/snap/allotment/fy-2010-information,
CONUS,10,2010,FY11,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/fy-2011-allotments-and-deduction-information,
Alaska,10,2010,FY11,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/fy-2011-allotments-and-deduction-information,
Hawaii,10,2010,FY11,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/fy-2011-allotments-and-deduction-information,
Guam,10,2010,FY11,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/fy-2011-allotments-and-deduction-information,
Virgin Islands,10,2010,FY11,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/fy-2011-allotments-and-deduction-information,
CONUS,10,2011,FY12,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2012-information,
Alaska,10,2011,FY12,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2012-information,
Hawaii,10,2011,FY12,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2012-information,
Guam,10,2011,FY12,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2012-information,
Virgin Islands,10,2011,FY12,.,.,.,.,.,.,,.,.,,https://www.fns.usda.gov/snap/allotment/fy-2012-information,
CONUS,10,2012,FY13,149,149,149,160,187,214,,Ê469.00,143,,https://www.fns.usda.gov/snap/allotment/fy-2013-information,
Alaska,10,2012,FY13,256,256,256,256,256,268,,749,143,,https://www.fns.usda.gov/snap/allotment/fy-2013-information,
Hawaii,10,2012,FY13,211,211,211,211,215,247,,632,143,,https://www.fns.usda.gov/snap/allotment/fy-2013-information,
Guam,10,2012,FY13,300,300,300,319,374,429,,550,143,,https://www.fns.usda.gov/snap/allotment/fy-2013-information,
Virgin Islands,10,2012,FY13,132,132,132,160,187,214,,369,143,,https://www.fns.usda.gov/snap/allotment/fy-2013-information,
CONUS,10,2013,FY14-1,152,152,152,163,191,219,,478,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-1.pdf,
Alaska,10,2013,FY14-1,260,260,260,260,260,274,,764,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-1.pdf,
Hawaii,10,2013,FY14-1,215,215,215,215,220,252,,644,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-1.pdf,
Guam,10,2013,FY14-1,306,306,306,326,382,438,,561,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-1.pdf,
Virgin Islands,10,2013,FY14-1,134,134,135,163,191,219,,377,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-1.pdf,
CONUS,11,2013,FY14-2,152,152,152,163,191,219,,478,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-2.pdf,
Alaska,11,2013,FY14-2,260,260,260,260,260,274,,764,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-2.pdf,
Hawaii,11,2013,FY14-2,215,215,215,215,220,252,,644,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-2.pdf,
Guam,11,2013,FY14-2,306,306,306,326,382,438,,561,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-2.pdf,
Virgin Islands,11,2013,FY14-2,134,134,135,163,191,219,,377,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY14_Allot_Deduct-2.pdf,
CONUS,10,2014,FY15,155,155,155,165,193,221,,490,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY15_Allot_Deduct.pdf,
Alaska,10,2014,FY15,266,266,266,266,266,277,,782,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY15_Allot_Deduct.pdf,
Hawaii,10,2014,FY15,219,219,219,219,222,255,,660,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY15_Allot_Deduct.pdf,
Guam,10,2014,FY15,312,312,312,330,387,443,,575,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY15_Allot_Deduct.pdf,
Virgin Islands,10,2014,FY15,137,137,137,165,193,221,,386,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY15_Allot_Deduct.pdf,
CONUS,10,2015,FY16,155,155,155,168,197,226,,504,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY16-Maximun-Allotments-Deductions.pdf,
Alaska,10,2015,FY16,265,265,265,265,265,282,,805,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY16-Maximun-Allotments-Deductions.pdf,
Hawaii,10,2015,FY16,219,219,219,219,226,259,,679,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY16-Maximun-Allotments-Deductions.pdf,
Guam,10,2015,FY16,312,312,312,336,394,451,,592,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY16-Maximun-Allotments-Deductions.pdf,
Virgin Islands,10,2015,FY16,137,137,139,168,197,226,,397,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY16-Maximun-Allotments-Deductions.pdf,
CONUS,10,2016,FY17,157,157,157,168,197,226,,517,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY17-Maximun-Allotments-Deductions.pdf,
Alaska,10,2016,FY17,268,268,268,268,268,282,,826,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY17-Maximun-Allotments-Deductions.pdf,
Hawaii,10,2016,FY17,221,221,221,221,227,260,,697,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY17-Maximun-Allotments-Deductions.pdf,
Guam,10,2016,FY17,315,315,315,337,394,451,,607,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY17-Maximun-Allotments-Deductions.pdf,
Virgin Islands,10,2016,FY17,138,138,140,168,197,226,,408,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY17-Maximun-Allotments-Deductions.pdf,
CONUS,10,2017,FY18,160,160,160,170,199,228,,535,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY18-Maximum-Allotments-Deductions.pdf,
Alaska,10,2017,FY18,273,273,273,273,273,285,,854,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY18-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2017,FY18,225,225,225,225,229,263,,720,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY18-Maximum-Allotments-Deductions.pdf,
Guam,10,2017,FY18,321,321,321,341,399,457,,627,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY18-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2017,FY18,141,141,141,170,199,228,,421,143,,https://fns-prod.azureedge.us/sites/default/files/snap/FY18-Maximum-Allotments-Deductions.pdf,
CONUS,10,2018,FY19,164,164,164,174,204,234,,552,147.55,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY19-Maximum-Allotments-Deductions.pdf,
Alaska,10,2018,FY19,281,281,281,281,281,292,,881,147.55,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY19-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2018,FY19,331,331,331,348,408,467,,647,147.55,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY19-Maximum-Allotments-Deductions.pdf,
Guam,10,2018,FY19,232,232,232,232,234,269,,743,147.55,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY19-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2018,FY19,145,145,145,174,204,234,,435,147.55,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY19-Maximum-Allotments-Deductions.pdf,
CONUS,10,2019,FY20,167,167,167,178,209,240,,569,152.06,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY20-Maximum-Allotments-Deductions.pdf,
Alaska,10,2019,FY20,286,286,286,286,286,300,,908,152.06,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY20-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2019,FY20,336,336,336,357,418,479,,667,152.06,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY20-Maximum-Allotments-Deductions.pdf,
Guam,10,2019,FY20,236,236,236,236,240,275,,766,152.06,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY20-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2019,FY20,147,147,148,178,209,240,,448,152.06,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY20-Maximum-Allotments-Deductions.pdf,
CONUS,10,2020,FY21,167,167,167,181,212,243,,586,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-Maximum-Allotments-Deductions.pdf,
Alaska,10,2020,FY21,286,286,286,286,286,304,,936,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2020,FY21,336,336,336,363,425,487,,688,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-Maximum-Allotments-Deductions.pdf,
Guam,10,2020,FY21,236,236,236,236,244,280,,790,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2020,FY21,147,147,150,181,212,243,,462,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-Maximum-Allotments-Deductions.pdf,
CONUS,1,2021,FY21,167,167,167,181,212,243,,586,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID-Maximum-Allotments-Deductions.pdf,
Alaska,1,2021,FY21,286,286,286,286,286,304,,936,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID-Maximum-Allotments-Deductions.pdf,
Hawaii,1,2021,FY21,336,336,336,363,425,487,,688,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID-Maximum-Allotments-Deductions.pdf,
Guam,1,2021,FY21,236,236,236,236,244,280,,790,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID-Maximum-Allotments-Deductions.pdf,
